label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
real,-286.50504,82.866455,-3.048747,6.1963754,-14.019105,-23.430107,-28.137281,-24.151695,-10.559417,-6.1229167,-22.31179,3.472519,-14.909388,1.6003163,-8.696147,-8.890037,-7.7168927,-5.9358582,-3.7473054,-4.896141,-6.500336,3.7146695,4.478168,6.556135,-0.59079057,-1.7010354,-3.8569758,-10.579718,-1.7769959,0.8383637,-4.879208,-3.8186545,-5.553712,-0.032879233,-2.4899642,-0.1571165,-2.468633,-6.8437657,-0.7612226,1.4331532,-2.6153307,-2.0235384,-4.2905054,4.9102507,1.3854157,1.876299,-0.08361019,2.4817336,-0.3056884,-0.7170111
real,-258.51727,115.21795,-27.348331,-1.0200317,-26.34546,-26.57444,-2.290049,-28.530397,-13.994471,-2.6325252,-22.070467,-2.2163513,-15.00902,4.113699,-8.103835,-6.3142653,-11.324626,-9.953787,-8.331213,-11.681955,-5.377349,2.4389355,-0.93000466,5.1780934,4.584224,-5.5364156,-1.002127,-5.4167504,-1.3291467,-0.06117793,-1.017348,-1.0310742,-6.843137,-2.7982924,-4.9141173,-1.0799346,-2.9981885,-3.4960127,0.54907554,4.92688,3.5657306,6.305344,1.2772549,2.177699,0.20941941,0.22495736,4.1105375,3.4811401,-1.215967,-2.4385118
real,-323.24332,70.039925,18.524485,6.825389,-7.2363033,-8.482132,-26.237007,-18.852127,-11.554374,-2.4209754,-32.672092,1.8166984,-14.985529,7.0764904,-10.846715,-8.383392,1.3529931,-7.3783092,-10.085564,-8.463686,-3.0245314,-17.056091,-9.56127,-2.3051472,-3.9011207,0.3119246,8.553103,5.7589197,0.7100451,2.091705,-5.6256685,-0.7994182,-1.1533767,4.713082,0.80515134,-3.7793405,-0.94939214,2.4867043,-1.878453,-1.3836478,-1.8480769,0.6361785,-1.152248,-2.3602252,-2.5778806,-0.5433917,-3.784328,0.53053224,-2.4999704,-0.21870744
real,-317.04306,74.3642,22.280884,-7.1154175,-43.22026,-2.930097,-12.933645,-16.738348,-19.033178,2.314376,-11.514533,-16.883598,-4.7903285,5.616536,-16.74623,-4.8430424,-8.569299,-8.767381,-7.294713,-6.892441,-5.320084,-3.4600883,-8.824082,-10.280586,-6.2515583,1.0699118,5.106627,0.8745853,0.63516116,-0.69783825,-7.0646935,-6.499765,-4.144932,-1.3115959,-2.344726,-2.3717637,-6.30647,-1.8421977,-5.2776637,-1.5852873,-5.340066,-4.332382,-3.5313904,-1.0674522,0.0042702453,0.5744087,-1.8700979,-0.53466636,0.7747339,4.2127256
real,-309.2497,119.82009,4.288385,2.8533688,-27.464188,-41.07344,-12.53141,-25.773527,-29.0061,-2.3211198,-13.932469,-8.095053,-12.547611,-3.0646086,-8.8694935,-15.212486,-8.903067,-15.793236,-4.298614,-9.438307,-13.771597,-0.013644542,-8.297491,-4.1653423,1.5181319,0.33894414,0.26440522,3.4967935,6.756024,9.833586,7.546983,-1.2357991,-4.7826037,-3.5936074,-5.335986,0.8580522,-5.243151,-3.0766325,-3.3872416,-1.917732,-4.564063,-5.6393375,-0.74290466,-4.3852696,0.19904515,-0.5944329,0.87757385,2.5431502,-3.2044034,-0.20908363
real,-307.60245,98.336464,-0.5642666,8.9591675,-7.2850037,-15.089604,-23.279276,-25.078278,-18.54113,2.0238316,-16.435831,-13.809783,-10.618115,3.313558,-10.150929,-14.46221,-7.287749,-5.4383926,-4.5892663,-10.408757,-6.787134,-3.293399,-10.257379,-3.8364217,0.4688661,-0.7722015,-3.9490488,-2.0336792,-3.4562144,-7.3570924,-7.056503,-2.0958993,-5.8237934,0.46464756,-4.43994,3.508457,1.5006914,2.2315373,-0.14485961,0.66529524,3.5604806,3.7555368,0.56258434,1.6620001,-2.8438427,-1.719,-1.1299973,-0.69741017,-0.83898145,0.380746
real,-293.37372,76.33538,-8.628414,17.976093,-16.21298,-29.400051,-27.31518,-23.747898,-18.68032,4.649327,-20.085472,-13.831625,-10.851401,2.7821302,-8.204547,-10.920719,-1.645328,-1.4315724,4.905035,-0.60686356,-0.49454626,6.4982667,0.7096031,-0.12284753,-4.532018,-6.195588,-2.79749,-0.721401,-1.0650998,0.15503134,-2.0724785,-1.7234333,0.112896316,-0.15459412,-4.1987395,-4.521161,-1.6634139,-1.0475838,-2.5983648,-0.28569946,-3.4935498,1.9275414,0.762783,3.5814736,0.93572426,0.26727363,-1.9742434,-1.4066424,-2.6124635,1.1981395
real,-235.24628,98.55599,-25.270771,18.308292,-25.13352,-42.4452,-19.563265,-15.863833,-4.206179,-6.4648085,-28.642677,-9.454457,-19.039,9.687742,-12.379163,-12.6196785,1.1410062,-4.3601294,-3.144991,-10.847557,2.3322873,-6.4257956,-6.0521097,-2.5128202,-14.4896,-8.067176,-2.5160005,-4.559998,0.735743,4.5988994,1.2414461,2.1182616,0.9507795,2.124105,-0.23659351,3.3292086,6.3805213,5.1790714,-0.8225845,-4.0151553,-5.645202,-0.8018071,-1.641428,3.3958771,-1.9115216,-2.7447069,-5.7326684,-1.315212,0.5708412,0.1727444
real,-278.8467,53.916985,19.560787,23.711021,-24.02792,-16.273907,-22.922739,-30.191927,-7.561229,-3.7294948,-22.430216,-4.473154,-19.656143,2.3457963,-15.80184,-10.574723,-9.934984,-8.107218,-5.1557927,-4.834206,0.2154502,-1.3636812,-3.1229331,1.4923458,-3.5427387,0.95243645,-1.6800417,2.37039,-3.956695,-0.014343023,-6.2611437,-0.19475839,-0.7495919,-0.118174575,-1.2978009,0.0937801,0.60045576,1.5564754,-1.3933988,-0.16492856,-2.6040587,3.337901,-0.70509225,1.2200842,1.5814764,0.16478652,-1.5458043,-2.6001458,-0.22129688,2.1650922
real,-260.95145,44.64064,11.916337,3.3253672,-24.63727,-12.813189,-25.553257,-17.73412,-12.623297,2.4029872,-18.209776,-2.645649,-15.398884,6.1704698,-13.566532,-9.110271,-8.431252,-3.546551,-4.910388,-10.261534,5.4216743,-7.1692257,-2.0525212,0.5061638,-9.749135,0.8829872,-3.2916596,-0.16285655,-0.9322579,1.6767079,-3.3028991,-0.30834758,-4.0215607,-1.6815736,-6.5009403,-2.4775493,-5.035444,0.70843875,-1.383644,1.3956604,-0.49834612,1.2577182,-0.116123095,0.408729,0.89079744,0.53008467,0.2088054,-1.9150205,0.7803515,-0.9361066
